SampleID	Factor1	Factor2	RelTV	IL10	IFNgamma	IFNalpha	IL2	IL4	MCP1	TNFalpha	TNFbeta	MIP1beta	IL8
CT22	Control	lowdose	202.4416101	85.1275766	14.05408511	776.093608	105.7830539	52.18976345	443.217692	64.2151856	4212.884469	1634.595029	46.14367971
CT23	Control	lowdose	232.2504026	120.1323742	40.67398578	1105.310386	210.1377249	51.74290606	67.65706463	157.289718	8704.751638	1315.925718	48.01581684
CT24	Control	lowdose	238.1380515	205.831378	178.7067683	153.7327308	240.6470347	63.40854283	565.2893693	413.0228841	10291.29119	9868.173729	138.6280794
CT48	Control	highdose	217.1581309	124.0872034	99.89860709	1349.221053	148.4503785	147.4099707	499.9864173	119.3080357	10487.88755	1770.927821	150.0911927
CT50	Control	highdose	221.2625624	125.7486648	44.18019976	1340.326224	163.164481	74.31936226	295.7480606	123.9669601	7824.147678	2446.083799	154.5277843
CT51	Control	highdose	219.2588164	124.9179341	72.03940343	1344.773639	155.8074298	110.8646665	397.867239	121.6374979	9156.017614	2108.50581	152.3094885
CTH26	Tumor	lowdose	2518.174261	337.1312665	387.9117413	2002.342909	329.7419945	70.01722305	742.7639185	283.0366618	14944.05486	3048.598423	129.9779702
CTH28	Tumor	lowdose	2146.129016	33.12661574	36.39924084	804.188972	140.0003159	41.42844623	219.0227079	66.34998327	7947.882902	1178.696367	45.77154733
CTH46	Tumor	lowdose	2289.849607	41.43315514	135.6743238	108.7348512	194.9169498	146.3461207	339.5410338	136.8128004	10420.16072	3237.620771	144.2387675
CTH47	Tumor	highdose	1428.134854	30.63313709	109.26381	2124.994385	240.007469	146.5238309	376.4408927	367.1258521	16703.25801	4436.629939	152.0888293
CTH49	Tumor	highdose	1287.26813	49.98366415	73.31284401	408.4501851	139.7805947	100.5710222	651.585612	165.321631	14993.60769	1801.296935	145.5668013
CTH50	Tumor	highdose	1367.106789	40.30840062	91.28832701	1266.722285	189.8940319	123.5474266	514.0132524	266.2237416	15848.43285	3118.963437	148.8278153
